Vehicle_ID,Brand,Model,Vehicle_Type,State,City,Model_Year,Registration_Date,Battery_Capacity_kWh,Electric_Range_km,Charging_Time_Hours,Price_INR,Fast_Charging
1,Tata,Nexon EV,PHEV,Tamil Nadu,Chennai,2023,2025-11-19,30,183,2.5,3164528,Yes
2,Tata,Punch EV,PHEV,Tamil Nadu,Chennai,2024,2024-05-12,31,469,7.5,2614336,No
3,MG,Comet EV,BEV,Karnataka,Bengaluru,2025,2024-02-22,57,408,7.5,1443107,Yes
4,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2025,2025-02-20,41,392,3.5,2911702,No
5,Mahindra,XUV400,BEV,Maharashtra,Pune,2023,2024-05-31,78,458,6.5,3362345,Yes
6,Hyundai,Kona Electric,BEV,Karnataka,Bengaluru,2025,2025-06-04,38,344,3.5,1086100,Yes
7,Hyundai,Kona Electric,PHEV,Tamil Nadu,Chennai,2022,2023-10-15,40,432,4.5,4452058,Yes
8,Tata,Punch EV,BEV,Maharashtra,Mumbai,2022,2023-10-22,46,504,7.5,4052049,Yes
9,Kia,EV6,BEV,Gujarat,Ahmedabad,2024,2022-01-23,43,434,1.5,1429590,No
10,Mahindra,XUV400,BEV,Gujarat,Ahmedabad,2022,2024-11-24,31,278,1.5,3256352,No
11,Mahindra,XUV400,BEV,Tamil Nadu,Chennai,2025,2025-10-03,39,462,1.5,1775583,Yes
12,Hyundai,Kona Electric,BEV,Maharashtra,Mumbai,2023,2024-03-29,42,288,8.5,3133621,Yes
13,Tata,Nexon EV,PHEV,Karnataka,Bengaluru,2024,2025-08-18,57,406,6.5,1349615,No
14,Tata,Nexon EV,PHEV,Delhi,New Delhi,2025,2022-08-10,45,211,4.5,3212422,No
15,Kia,EV6,BEV,Maharashtra,Mumbai,2024,2023-02-20,36,293,8.5,1728271,No
16,BYD,Atto 3,BEV,Delhi,New Delhi,2023,2022-10-31,74,490,8.5,3746234,Yes
17,Kia,EV6,BEV,Gujarat,Ahmedabad,2025,2026-01-04,61,486,5.5,890952,No
18,Kia,EV6,PHEV,Maharashtra,Mumbai,2024,2023-07-27,67,411,2.5,888012,No
19,BYD,Atto 3,BEV,Maharashtra,Mumbai,2023,2024-12-31,49,399,7.5,4451530,Yes
20,Tata,Nexon EV,BEV,Maharashtra,Mumbai,2026,2025-07-06,68,354,6.5,2362977,Yes
21,Mahindra,XUV400,BEV,Karnataka,Bengaluru,2025,2023-06-01,46,503,6.5,4389667,No
22,Hyundai,Kona Electric,PHEV,Gujarat,Ahmedabad,2026,2025-08-10,27,410,6.5,3423170,Yes
23,BYD,Atto 3,PHEV,Karnataka,Bengaluru,2022,2024-05-24,29,259,5.5,3169016,Yes
24,BYD,Atto 3,PHEV,Maharashtra,Mumbai,2026,2025-02-27,33,300,6.5,4057310,No
25,Hyundai,Kona Electric,BEV,Delhi,New Delhi,2023,2024-05-14,31,345,4.5,3149205,Yes
26,Kia,EV6,PHEV,Maharashtra,Pune,2025,2024-01-27,49,356,8.5,1471863,No
27,Hyundai,Kona Electric,BEV,Karnataka,Bengaluru,2022,2024-12-16,59,259,7.5,2464598,Yes
28,Tata,Punch EV,BEV,Tamil Nadu,Chennai,2026,2025-01-01,56,386,6.5,4381622,Yes
29,MG,Comet EV,BEV,Tamil Nadu,Chennai,2022,2025-03-10,42,242,6.5,1398917,No
30,Tata,Nexon EV,BEV,Delhi,New Delhi,2023,2024-08-25,42,419,1.5,3253626,No
31,Hyundai,Kona Electric,BEV,Maharashtra,Pune,2026,2024-01-20,59,291,3.5,2436491,No
32,Mahindra,XUV400,PHEV,Tamil Nadu,Chennai,2022,2025-04-22,54,377,7.5,4395711,No
33,BYD,Atto 3,PHEV,Karnataka,Bengaluru,2024,2024-06-20,48,233,2.5,3578430,No
34,Kia,EV6,BEV,Delhi,New Delhi,2025,2022-05-06,37,238,1.5,1250955,No
35,Kia,EV6,BEV,Maharashtra,Mumbai,2024,2025-03-09,64,536,5.5,4353423,No
36,MG,ZS EV,PHEV,Karnataka,Bengaluru,2024,2024-07-29,29,302,3.5,1183398,No
37,BYD,Atto 3,PHEV,Delhi,New Delhi,2023,2024-10-23,78,413,6.5,1787311,Yes
38,Kia,EV6,BEV,Karnataka,Bengaluru,2026,2022-10-26,80,246,6.5,2789988,No
39,Hyundai,Kona Electric,BEV,Tamil Nadu,Chennai,2026,2022-04-16,29,504,5.5,3441706,Yes
40,Tata,Punch EV,PHEV,Tamil Nadu,Chennai,2023,2025-02-09,63,372,1.5,1199147,No
41,Hyundai,Kona Electric,PHEV,Karnataka,Bengaluru,2023,2024-02-27,72,533,1.5,1286578,No
42,MG,ZS EV,BEV,Maharashtra,Mumbai,2023,2025-06-16,34,374,6.5,3308736,Yes
43,Kia,EV6,BEV,Maharashtra,Mumbai,2026,2025-06-30,61,457,7.5,758331,No
44,Mahindra,XUV400,PHEV,Maharashtra,Pune,2025,2024-03-18,80,255,6.5,2439467,Yes
45,BYD,Atto 3,BEV,Gujarat,Ahmedabad,2025,2025-11-30,20,294,3.5,2250112,No
46,Kia,EV6,BEV,Maharashtra,Mumbai,2022,2025-03-23,28,221,4.5,4038214,No
47,Hyundai,Kona Electric,BEV,Maharashtra,Mumbai,2026,2022-02-27,61,219,3.5,1284050,Yes
48,Kia,EV6,BEV,Maharashtra,Mumbai,2026,2025-10-14,43,405,5.5,4057841,Yes
